date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,stringency_index,population,female_smokers,male_smokers
20MAY2020,7009,31,114,0,471318,9061,0.001,69.44,32365998,1,42.4
21MAY2020,7059,50,114,0,481411,10093,0.001,69.44,32365998,1,42.4
22MAY2020,7137,78,115,1,491729,10318,0.004,69.44,32365998,1,42.4
23MAY2020,7185,48,115,0,500469,8740,0.005,75,32365998,1,42.4
24MAY2020,7245,60,115,0,507682,7213,0.005,75,32365998,1,42.4
25MAY2020,7417,172,115,0,513370,5688,0.008,75,32365998,1,42.4
26MAY2020,7604,187,115,0,519944,6574,0.011,75,32365998,1,42.4
27MAY2020,7619,15,115,0,530501,7393,0.011,75,32365998,1,42.4
28MAY2020,7629,10,115,0,530501,7393,0.012,75,32365998,1,42.4
29MAY2020,7732,103,115,0,537894,7393,0.013,75,32365998,1,42.4
30MAY2020,7762,30,115,0,546368,8474,0.013,75,32365998,1,42.4
31MAY2020,7819,57,115,0,553183,6815,0.013,75,32365998,1,42.4
01JUN2020,7857,38,115,0,560738,7555,0.009,75,32365998,1,42.4
02JUN2020,7877,20,115,0,567287,6549,0.006,75,32365998,1,42.4
03JUN2020,7970,93,115,0,575505,8218,0.007,75,32365998,1,42.4
04JUN2020,8247,277,115,0,582486,6981,0.012,75,32365998,1,42.4
05JUN2020,8266,19,116,1,590613,8127,0.01,75,32365998,1,42.4
06JUN2020,8303,37,117,1,599454,8841,0.01,75,32365998,1,42.4
07JUN2020,8322,19,117,0,614239,6081,0.009,75,32365998,1,42.4
08JUN2020,8329,7,117,0,614239,6081,0.009,75,32365998,1,42.4
09JUN2020,8336,7,117,0,620320,6081,0.009,75,32365998,1,42.4
10JUN2020,8338,2,118,1,625775,5455,0.007,57.41,32365998,1,42.4
11JUN2020,8369,31,118,0,631608,5833,0.002,57.41,32365998,1,42.4
12JUN2020,8402,33,119,1,640680,9072,0.003,57.41,32365998,1,42.4
13JUN2020,8445,43,120,1,646055,5375,0.003,57.41,32365998,1,42.4
14JUN2020,8453,8,121,1,651344,5289,0.003,57.41,32365998,1,42.4
15JUN2020,8494,41,121,0,656210,4866,0.004,57.41,32365998,1,42.4
16JUN2020,8505,11,121,0,659632,3422,0.004,57.41,32365998,1,42.4
17JUN2020,8515,10,121,0,664334,4702,0.005,57.41,32365998,1,42.4
18JUN2020,8529,14,121,0,669589,5255,0.004,57.41,32365998,1,42.4
19JUN2020,8535,6,121,0,674551,4962,0.004,54.63,32365998,1,42.4
20JUN2020,8556,21,121,0,679826,5275,0.003,54.63,32365998,1,42.4
21JUN2020,8572,16,121,0,683968,4142,0.004,54.63,32365998,1,42.4
22JUN2020,8587,15,121,0,686905,2937,0.003,54.63,32365998,1,42.4
23JUN2020,8590,3,121,0,693603,6698,0.003,54.63,32365998,1,42.4
24JUN2020,8596,6,121,0,704336,10733,0.002,50.93,32365998,1,42.4
25JUN2020,8600,4,121,0,716178,11842,0.002,50.93,32365998,1,42.4
26JUN2020,8606,6,121,0,729116,12938,0.001,50.93,32365998,1,42.4
27JUN2020,8616,10,121,0,739458,10342,0.001,50.93,32365998,1,42.4
28JUN2020,8634,18,121,0,749950,10492,0.001,50.93,32365998,1,42.4
29JUN2020,8637,3,121,0,756171,6221,0.001,50.93,32365998,1,42.4
30JUN2020,8639,2,121,0,764999,8828,0.001,50.93,32365998,1,42.4
01JUL2020,8640,1,121,0,773911,8912,0.001,50.93,32365998,1,42.4
02JUL2020,8643,3,121,0,782638,8727,0.001,50.93,32365998,1,42.4
03JUL2020,8648,5,121,0,790859,8221,0.001,50.93,32365998,1,42.4
04JUL2020,8658,10,121,0,797796,6937,0.001,50.93,32365998,1,42.4
05JUL2020,8663,5,121,0,804518,6722,0.001,50.93,32365998,1,42.4
06JUL2020,8668,5,121,0,810057,5539,0.001,50.93,32365998,1,42.4
07JUL2020,8674,6,121,0,816118,6061,0.001,50.93,32365998,1,42.4
08JUL2020,8677,3,121,0,822646,6528,0.001,50.93,32365998,1,42.4
09JUL2020,8683,6,121,0,829988,7342,0.001,50.93,32365998,1,42.4
10JUL2020,8696,13,121,0,836255,6267,0.001,50.93,32365998,1,42.4
11JUL2020,8704,8,122,1,842476,6221,0.001,50.93,32365998,1,42.4
12JUL2020,8718,14,122,0,847510,5034,0.001,50.93,32365998,1,42.4
13JUL2020,8725,7,122,0,850423,2913,0.001,50.93,32365998,1,42.4
14JUL2020,8729,4,122,0,855119,4696,0.001,50.93,32365998,1,42.4
15JUL2020,8734,5,122,0,861896,6777,0.001,50.93,32365998,1,42.4
16JUL2020,8737,3,122,0,868394,6498,0.001,50.93,32365998,1,42.4
17JUL2020,8755,18,122,0,876222,7828,0.001,50.93,32365998,1,42.4
18JUL2020,8764,9,122,0,884170,7948,0.001,50.93,32365998,1,42.4
19JUL2020,8779,15,123,1,889744,5574,0.001,50.93,32365998,1,42.4
20JUL2020,8800,21,123,0,895758,6014,0.002,50.93,32365998,1,42.4
21JUL2020,8815,15,123,0,902439,6681,0.002,50.93,32365998,1,42.4
22JUL2020,8831,16,123,0,909627,7188,0.002,47.22,32365998,1,42.4
23JUL2020,8840,9,123,0,916340,6713,0.002,47.22,32365998,1,42.4
24JUL2020,8861,21,123,0,925188,8848,0.002,47.22,32365998,1,42.4
25JUL2020,8884,23,123,0,932397,7209,0.002,47.22,32365998,1,42.4
26JUL2020,8897,13,124,1,937645,5248,0.002,47.22,32365998,1,42.4
27JUL2020,8904,7,124,0,943244,5599,0.002,47.22,32365998,1,42.4
28JUL2020,8943,39,124,0,949141,5897,0.003,47.22,32365998,1,42.4
29JUL2020,8956,13,124,0,955133,5992,0.003,47.22,32365998,1,42.4
30JUL2020,8964,8,124,0,963079,7946,0.003,47.22,32365998,1,42.4
31JUL2020,8976,12,125,1,970644,7565,0.003,47.22,32365998,1,42.4
01AUG2020,8985,9,125,0,974674,4030,0.002,47.22,32365998,1,42.4
02AUG2020,8999,14,125,0,979178,4504,0.002,47.22,32365998,1,42.4
