date,state,new_deaths,total_deaths,new_cases,total_cases
2020-06-19,WP KUALA LUMPUR,0,25,1,2423
2020-06-20,SELANGOR,0,17,12,2021
2020-06-20,SABAH,0,7,1,363
2020-06-20,WP KUALA LUMPUR,0,25,7,2430
2020-06-21,SELANGOR,0,17,4,2025
2020-06-21,SABAH,0,7,1,364
2020-06-21,WP KUALA LUMPUR,0,25,0,2430
2020-06-22,SELANGOR,0,17,2,2027
2020-06-22,SABAH,0,7,0,364
2020-06-22,WP KUALA LUMPUR,0,25,0,2430
2020-06-23,SELANGOR,0,17,0,2027
2020-06-23,SABAH,0,7,2,366
2020-06-23,WP KUALA LUMPUR,0,25,0,2430
2020-06-24,SELANGOR,0,17,5,2032
2020-06-24,SABAH,0,7,0,366
2020-06-24,WP KUALA LUMPUR,0,25,0,2430
2020-06-25,SELANGOR,0,17,2,2034
2020-06-25,SABAH,0,7,0,366
2020-06-25,WP KUALA LUMPUR,0,25,0,2430
2020-06-26,SELANGOR,0,17,2,2036
2020-06-26,SABAH,0,7,0,366
2020-06-26,WP KUALA LUMPUR,0,25,1,2431
2020-06-27,SELANGOR,0,17,3,2039
2020-06-27,SABAH,0,7,2,368
2020-06-27,WP KUALA LUMPUR,0,25,4,2435
2020-06-28,SELANGOR,0,17,5,2044
2020-06-28,SABAH,0,7,2,370
2020-06-28,WP KUALA LUMPUR,0,25,1,2436
2020-06-29,SELANGOR,0,17,2,2046
2020-06-29,SABAH,0,7,1,371
2020-06-29,WP KUALA LUMPUR,0,25,0,2436
2020-06-30,SELANGOR,0,17,1,2047
2020-06-30,SABAH,0,7,1,372
2020-06-30,WP KUALA LUMPUR,0,25,0,2436
2020-07-01,SELANGOR,0,17,1,2048
2020-07-01,SABAH,0,7,0,372
2020-07-01,WP KUALA LUMPUR,0,25,0,2436
2020-07-02,SELANGOR,0,17,0,2048
2020-07-02,SABAH,0,7,1,373
2020-07-02,WP KUALA LUMPUR,0,25,1,2437
2020-07-03,SELANGOR,0,17,3,2051
2020-07-03,SABAH,0,7,2,375
2020-07-03,WP KUALA LUMPUR,0,25,0,2437
